Contains Your Team	 Date	 Match #	 Match Type	 Team Number	 Spectating Team	 Starting Position	 SP-Autonomous	 SP-Off Platform	 SP-Cross Line	 SP-RocketHatchLow	 SP-RocketHatchMid	 SP-RocketHatchHigh	 SP-RocketHatchDropped	 SP-RocketCargoLow	 SP-RocketCargoMid	 SP-RocketCargoHigh	 SP-RocketCargoDropped	 SP-CargoShipHatches	 SP-CargoShipCargo	 CP-Defense	 CP-RocketHatchLow	 CP-RocketHatchMid	 CP-RocketHatchHigh	 CP-RocketHatchDropped	 CP-HatchFromLoadingZone	 CP-RocketCargoLow	 CP-RocketCargoMid	 CP-RocketCargoHigh	 CP-RocketCargoDropped	 CP-CargoFromLoadingZone	 CP-CargoShipHatches	 CP-CargoShipCargo	 EG-Ending Location	 EG-Climbing Help	 Penalties	 Yellow Card	 Red Card	 Red Score	 Blue Score	 Robot Dead Time	 Sandstorm Notes	 Clear Skies Notes		
	2019/03/23 19:41:03	60	Qualification	2910	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	false	3	0	0	0	true	1	4	No Climb	0	false	false	false	48	102	0				
	2019/03/23 19:47:01	61	Qualification	4205	Blue	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	true	1	2	High	0	false	false	false	82	78	0				
	2019/03/23 11:16:51	1	Qualification	1294	Blue	Middle	false	false	false	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	1	0	Middle	0	false	false	false	36	44	72.439		stopped for a long time		
	2019/03/23 11:25:05	2	Qualification	488	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	2	0	0	2	false	0	0	0	0	false	2	0	Middle	0	false	false	false	51	78	0				
	2019/03/23 11:40:39	3	Qualification	2910	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	4	0	0	0	true	3	0	0	0	false	2	1	High	0	false	false	false	79	43	0		"this robot is very fast, focused on lower parts"		
	2019/03/23 11:40:46	4	Qualification	3268	Red	Low	false	true	true	0	0	3	0	0	0	0	0	0	0	false	0	0	0	1	true	0	0	5	1	false	0	1	No Climb	0	false	false	false	37	32	0		"robot got knocked over by another robot, having trouble with attaching and getting hatches"		
	2019/03/23 11:56:39	5	Qualification	4911	Red	High	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	false	2	0	0	0	false	2	3	Low	0	false	false	false	113	60	0		"good with lower levels, hanging from muddle level of rocket"		
	2019/03/23 11:56:28	6	Qualification	4205	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	2	false	0	1	High	0	false	false	false	58	46	0		"slow, dripped a lot of cargo, no hatches"		
	2019/03/23 12:03:24	7	Qualification	2910	Red	High	false	true	true	0	0	0	1	0	0	0	0	1	0	false	2	0	0	0	false	2	0	0	0	false	2	4	High	0	false	false	false	85	62	0		fast		
	2019/03/23 12:12:55	8	Qualification	2928	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	1	0	false	0	0	0	0	false	0	5	Middle	0	false	false	false	75	27	0				
	2019/03/23 12:18:41	9	Qualification	4682	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	0	0	false	0	0	0	0	false	1	1	Low	0	false	false	false	38	32	32.687				
*	2019/03/23 12:26:30	10	Qualification	492	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	1	0	2	1	false	0	0	0	0	true	0	0	High	0	false	false	false	53	79	0				
	2019/03/23 12:33:34	11	Qualification	4205	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	1	2	Middle	0	false	false	false	48	67	0		dropped hatch		
	2019/03/23 12:40:40	12	Qualification	4309	Red	Low	false	true	true	1	0	0	0	0	0	0	0	0	0	false	2	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	34	49	0		can help other robots climb		
	2019/03/23 12:50:23	13	Qualification	7118	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	52	69	0	dropped hatch	dropped several panels		
*	2019/03/23 12:57:16	14	Qualification	492	Red	Low	false	true	true	0	1	1	1	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	High	0	false	false	false	62	28	0				
	2019/03/23 14:13:33	15	Qualification	4681	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	1	false	0	0	0	0	true	2	0	0	1	false	0	3	Low	0	false	false	false	44	65	0		"almost got to middle platform, didn't get there"		
	2019/03/23 14:21:12	17	Qualification	2930	Red	Low	false	true	true	0	0	0	0	0	0	0	0	1	0	false	2	0	0	0	false	0	0	0	0	true	1	3	Middle	0	false	false	false	64	49	0				
	2019/03/23 14:29:27	18	Qualification	1258	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	1	0	false	1	0	0	0	false	0	0	0	0	true	2	0	Low	0	false	false	false	69	47	0				
	2019/03/23 14:37:41	19	Qualification	5588	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	Low	0	false	false	false	45	79	0				
	2019/03/23 14:46:33	20	Qualification	2522	Red	Middle	false	true	true	0	0	1	0	0	0	0	0	0	0	false	2	2	1	1	false	2	0	0	0	true	0	0	Middle	0	false	false	false	60	65	0				
	2019/03/23 14:52:44	21	Qualification	3268	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	3	No Climb	0	false	false	false	62	64	32.574				
	2019/03/23 15:00:06	22	Qualification	1294	Red	Middle	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	39	62	75.886		dead the whole time		
	2019/03/23 15:06:18	23	Qualification	7461	Red	Low	false	true	true	0	0	0	0	0	0	0	0	0	0	false	0	0	0	0	false	0	0	0	1	false	0	1	No Climb	0	false	false	false	51	84	0				
	2019/03/23 15:13:50	24	Qualification	4512	Red	Low	true	true	true	0	0	0	0	0	0	0	0	0	0	false	1	1	1	2	false	4	0	0	0	true	0	0	No Climb	0	false	false	false	64	51	0				
	2019/03/23 15:20:51	25	Qualification	4180	Red	Low	true	true	true	0	0	0	0	0	0	0	0	0	0	true	0	0	0	0	false	0	0	0	0	false	0	0	No Climb	0	false	false	false	81	77	0				
