a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2147,frc7034,41.04488333333336,17,4,19
frc492,frc2521,frc7461,41.04351666666674,17,16,27
frc492,frc1899,frc4911,41.04326666666664,17,36,6
frc492,frc1899,frc957,41.03921666666669,17,36,14
frc492,frc1359,frc997,41.02749999999999,17,41,8
frc492,frc2930,frc997,41.02473333333333,17,7,8
frc492,frc2990,frc957,41.02215,17,28,14
frc492,frc1359,frc6350,41.01613333333336,17,41,20
frc492,frc2522,frc3711,41.01358333333339,17,23,21
frc492,frc4488,frc6831,41.00341666666677,17,9,35
frc492,frc1540,frc3674,40.9945833333333,17,30,12
frc492,frc2928,frc4131,40.98973333333338,17,40,33
frc492,frc2928,frc4089,40.972500000000096,17,40,22
frc492,frc1595,frc4488,40.97131666666668,17,5,9
frc492,frc2046,frc5827,40.952100000000016,17,11,29
frc492,frc2990,frc4512,40.94108333333337,17,28,13
frc492,frc2976,frc955,40.93833333333333,17,2,10
frc492,frc1595,frc2635,40.92874999999997,17,5,46
frc492,frc2521,frc2928,40.928166666666755,17,16,40
frc492,frc2990,frc3711,40.89943333333342,17,28,21
frc492,frc1425,frc2930,40.89565000000003,17,31,7
frc492,frc1540,frc3218,40.89283333333332,17,30,25
frc492,frc3636,frc3711,40.89138333333339,17,32,21
frc492,frc1595,frc2521,40.88271666666666,17,5,16
frc492,frc2046,frc4125,40.87916666666669,17,11,38
frc492,frc2930,frc360,40.87911666666666,17,7,26
frc492,frc1899,frc4131,40.87343333333328,17,36,33
frc492,frc3636,frc6350,40.86741666666668,17,32,20
frc492,frc2976,frc4513,40.861666666666714,17,2,37
frc492,frc955,frc957,40.86075,17,10,14
frc492,frc1595,frc7461,40.854366666666664,17,5,27
frc492,frc1595,frc955,40.84700000000004,17,5,10
frc492,frc360,frc4911,40.845916666666746,17,26,6
frc492,frc2930,frc4911,40.84224999999998,17,7,6
frc492,frc3711,frc5827,40.823983333333345,17,21,29
frc492,frc2976,frc360,40.813666666666656,17,2,26
frc492,frc2147,frc4089,40.81175000000003,17,4,22
frc492,frc2147,frc2557,40.80721666666667,17,4,18
frc492,frc4488,frc7034,40.79508333333333,17,9,19
frc492,frc4911,frc957,40.7779166666667,17,6,14
frc492,frc2976,frc4125,40.77333333333337,17,2,38
frc492,frc1425,frc7461,40.76555000000001,17,31,27
frc492,frc1540,frc4488,40.76533333333337,17,30,9
frc492,frc1595,frc2412,40.755750000000056,17,5,45
frc492,frc2147,frc4513,40.74883333333339,17,4,37
frc492,frc2930,frc3674,40.74316666666672,17,7,12
frc492,frc1595,frc3636,40.73380000000004,17,5,32
frc492,frc2471,frc488,40.731916666666656,17,3,34
frc492,frc3218,frc4512,40.72891666666665,17,25,13
frc492,frc2976,frc3663,40.718666666666685,17,2,24
frc492,frc5920,frc6350,40.712999999999965,17,43,20
frc492,frc1899,frc3711,40.68401666666678,17,36,21
frc492,frc2557,frc3711,40.669483333333346,17,18,21
frc492,frc2557,frc4089,40.66258333333338,17,18,22
frc492,frc2147,frc2811,40.66083333333332,17,4,15
frc492,frc1540,frc4089,40.6569166666667,17,30,22
frc492,frc2811,frc4131,40.64731666666666,17,15,33
frc492,frc2471,frc7461,40.610383333333274,17,3,27
frc492,frc7034,frc7461,40.606333333333325,17,19,27
frc492,frc2147,frc5920,40.60099999999999,17,4,43
frc492,frc6831,frc7461,40.57541666666671,17,35,27
frc492,frc2635,frc3674,40.56708333333337,17,46,12
frc492,frc1595,frc3663,40.562866666666636,17,5,24
frc492,frc2046,frc2635,40.55733333333338,17,11,46
frc492,frc1540,frc488,40.5390666666666,17,30,34
frc492,frc3786,frc7461,40.53549999999995,17,44,27
frc492,frc2521,frc957,40.53363333333334,17,16,14
frc492,frc1595,frc4915,40.528666666666695,17,5,42
frc492,frc2147,frc2471,40.52771666666671,17,4,3
frc492,frc2471,frc6350,40.50541666666667,17,3,20
frc492,frc2930,frc957,40.49676666666672,17,7,14
frc492,frc4915,frc6350,40.49258333333339,17,42,20
frc492,frc1359,frc4131,40.48886666666668,17,41,33
frc492,frc2930,frc2990,40.48688333333337,17,7,28
frc492,frc1359,frc3218,40.48359999999997,17,41,25
frc492,frc4512,frc957,40.479500000000016,17,13,14
frc492,frc2521,frc4911,40.456000000000046,17,16,6
frc492,frc1595,frc4089,40.44683333333325,17,5,22
frc492,frc4915,frc997,40.44641666666673,17,42,8
frc492,frc2521,frc4131,40.44638333333336,17,16,33
frc492,frc2910,frc4915,40.44200000000002,17,1,42
frc492,frc1294,frc6350,40.441649999999946,17,39,20
frc492,frc4089,frc7034,40.438083333333346,17,22,19
frc492,frc2990,frc360,40.431416666666735,17,28,26
frc492,frc1294,frc2471,40.42883333333334,17,39,3
frc492,frc2811,frc997,40.422,17,15,8
frc492,frc3711,frc6831,40.42050000000005,17,21,35
frc492,frc2910,frc5920,40.4164166666667,17,1,43
frc492,frc3786,frc6350,40.415333333333365,17,44,20
frc492,frc2930,frc5827,40.41146666666668,17,7,29
frc492,frc3218,frc3663,40.40491666666669,17,25,24
frc492,frc2522,frc4911,40.39383333333329,17,23,6
frc492,frc2046,frc4513,40.38158333333347,17,11,37
frc492,frc1540,frc4131,40.37613333333337,17,30,33
frc492,frc6350,frc955,40.3719166666667,17,20,10
frc492,frc2990,frc6831,40.36408333333336,17,28,35
frc492,frc2471,frc2990,40.336450000000056,17,3,28
frc492,frc3711,frc7034,40.33416666666671,17,21,19
frc492,frc4488,frc4911,40.33416666666664,17,9,6
frc492,frc4043,frc4131,40.32069999999999,17,48,33
frc492,frc1540,frc3663,40.31658333333331,17,30,24
frc492,frc2471,frc2521,40.29068333333328,17,3,16
frc492,frc2522,frc957,40.28341666666672,17,23,14
frc492,frc2522,frc488,40.28316666666662,17,23,34
frc492,frc3663,frc4089,40.27900000000009,17,24,22
frc492,frc2557,frc3663,40.277916666666705,17,18,24
frc492,frc4915,frc7034,40.272500000000036,17,42,19
frc492,frc2147,frc3786,40.267516666666666,17,4,44
frc492,frc1595,frc3674,40.258250000000004,17,5,12
frc492,frc2990,frc3674,40.24608333333336,17,28,12
