a1,a2,a3,p(win),rank1,rank2,rank3
frc492,frc2521,frc4911,68.13966666666674,17,16,6
frc492,frc2147,frc4512,68.12391666666664,17,4,13
frc492,frc1595,frc2976,68.08866666666673,17,5,2
frc492,frc2471,frc2521,68.08283333333334,17,3,16
frc492,frc1595,frc3636,68.0765833333333,17,5,32
frc492,frc2522,frc4911,68.07028333333345,17,23,6
frc492,frc3218,frc7034,68.05272619047626,17,25,19
frc492,frc3636,frc4488,68.00483333333347,17,32,9
frc492,frc2976,frc2990,67.97833333333325,17,2,28
frc492,frc4512,frc955,67.8236666666667,17,13,10
frc492,frc1595,frc4488,67.78300000000003,17,5,9
frc492,frc4089,frc6831,67.77391666666678,17,22,35
frc492,frc2930,frc5827,67.77045,17,7,29
frc492,frc5827,frc955,67.75225000000003,17,29,10
frc492,frc4911,frc997,67.7174571428572,17,6,8
frc492,frc3636,frc955,67.71708333333342,17,32,10
frc492,frc3218,frc955,67.69716666666687,17,25,10
frc492,frc1540,frc2471,67.65125000000006,17,30,3
frc492,frc2522,frc4089,67.59949999999998,17,23,22
frc492,frc2557,frc955,67.59758333333329,17,18,10
frc492,frc2471,frc360,67.58600000000008,17,3,26
frc492,frc4911,frc6831,67.54825,17,6,35
frc492,frc5827,frc7461,67.48866666666672,17,29,27
frc492,frc4089,frc4513,67.45933333333345,17,22,37
frc492,frc2147,frc3663,67.43016666666674,17,4,24
frc492,frc2147,frc360,67.41308333333346,17,4,26
frc492,frc1540,frc7034,67.37696428571442,17,30,19
frc492,frc4089,frc957,67.30775000000004,17,22,14
frc492,frc4089,frc997,67.26908333333347,17,22,8
frc492,frc2147,frc2811,67.26800000000001,17,4,15
frc492,frc2147,frc955,67.22969999999994,17,4,10
frc492,frc2930,frc360,67.22483333333324,17,7,26
frc492,frc1595,frc3218,67.21574999999996,17,5,25
frc492,frc955,frc957,67.20686666666674,17,10,14
frc492,frc1425,frc7461,67.19783333333334,17,31,27
frc492,frc3674,frc4488,67.19199999999991,17,12,9
frc492,frc2521,frc955,67.18195000000009,17,16,10
frc492,frc1595,frc2147,67.11041666666675,17,5,4
frc492,frc2471,frc957,67.02941666666678,17,3,14
frc492,frc2471,frc3218,67.02700000000002,17,3,25
frc492,frc360,frc3636,67.01516666666672,17,26,32
frc492,frc2990,frc3218,66.97794047619048,17,28,25
frc492,frc3674,frc4089,66.95283333333334,17,12,22
frc492,frc4513,frc4911,66.94961666666669,17,37,6
frc492,frc1595,frc2811,66.94025,17,5,15
frc492,frc1425,frc955,66.93950000000018,17,31,10
frc492,frc4089,frc4125,66.9009499999999,17,22,38
frc492,frc7034,frc957,66.88900000000007,17,19,14
frc492,frc2910,frc8532,66.83833333333328,17,1,50
frc492,frc2046,frc997,66.73417857142861,17,11,8
frc492,frc1425,frc2930,66.71440000000005,17,31,7
frc492,frc1595,frc2930,66.67314999999998,17,5,7
frc492,frc2930,frc3636,66.66803095238089,17,7,32
frc492,frc2976,frc7461,66.65541666666662,17,2,27
frc492,frc2557,frc2990,66.62030952380954,17,18,28
frc492,frc3786,frc4911,66.55758333333341,17,44,6
frc492,frc3786,frc7034,66.54033333333341,17,44,19
frc492,frc2976,frc3218,66.52816666666678,17,2,25
frc492,frc1540,frc2147,66.38666666666677,17,30,4
frc492,frc2811,frc3636,66.37558333333338,17,15,32
frc492,frc1899,frc4488,66.33381666666668,17,36,9
frc492,frc3674,frc7034,66.31983333333335,17,12,19
frc492,frc2910,frc568,66.29833333333335,17,1,47
frc492,frc2930,frc4512,66.27883333333332,17,7,13
frc492,frc4488,frc957,66.25825000000006,17,9,14
frc492,frc2521,frc2990,66.25086428571426,17,16,28
frc492,frc1294,frc2046,66.16633333333343,17,39,11
frc492,frc2147,frc6831,66.11091666666655,17,4,35
frc492,frc360,frc7461,66.11000000000001,17,26,27
frc492,frc2521,frc4488,66.09773333333325,17,16,9
frc492,frc2930,frc2976,66.09638333333334,17,7,2
frc492,frc2557,frc7461,66.0759166666667,17,18,27
frc492,frc2930,frc3218,66.00798333333336,17,7,25
frc492,frc2930,frc3663,65.98028333333326,17,7,24
frc492,frc2471,frc3674,65.93441666666668,17,3,12
frc492,frc2522,frc7034,65.89916666666674,17,23,19
frc492,frc2147,frc3674,65.78350000000005,17,4,12
frc492,frc4513,frc7034,65.76915000000001,17,37,19
frc492,frc2521,frc2930,65.74318333333325,17,16,7
frc492,frc1540,frc2976,65.71066666666671,17,30,2
frc492,frc2990,frc3674,65.67639285714284,17,28,12
frc492,frc2147,frc2522,65.65299999999999,17,4,23
frc492,frc1425,frc3636,65.65166666666669,17,31,32
frc492,frc2557,frc2930,65.6126000000001,17,18,7
frc492,frc1899,frc7034,65.55774999999996,17,36,19
frc492,frc2522,frc2990,65.53161904761907,17,23,28
frc492,frc3218,frc4488,65.52716666666672,17,25,9
frc492,frc4512,frc7461,65.51216666666666,17,13,27
frc492,frc1595,frc2557,65.49841666666669,17,5,18
frc492,frc4488,frc6831,65.46791666666667,17,9,35
frc492,frc2147,frc2557,65.45408333333347,17,4,18
frc492,frc2557,frc3636,65.44275000000002,17,18,32
frc492,frc2990,frc3786,65.43883333333333,17,28,44
frc492,frc4089,frc488,65.42496666666668,17,22,34
frc492,frc2521,frc7461,65.40058333333343,17,16,27
frc492,frc2147,frc957,65.3723333333333,17,4,14
frc492,frc2811,frc5827,65.3444166666667,17,15,29
frc492,frc7461,frc957,65.32758333333322,17,27,14
frc492,frc2930,frc3786,65.27658333333333,17,7,44
frc492,frc3711,frc4089,65.26958333333351,17,21,22
frc492,frc3786,frc955,65.24941666666668,17,44,10
frc492,frc2811,frc3218,65.15716666666664,17,15,25
frc492,frc2147,frc5827,65.15079999999998,17,4,29
frc492,frc4488,frc997,65.09580952380956,17,9,8
frc492,frc4915,frc7034,65.07216666666665,17,42,19
frc492,frc2930,frc957,65.05361666666654,17,7,14
frc492,frc2522,frc4488,65.03816666666675,17,23,9
frc492,frc4089,frc4915,65.035,17,22,42
frc492,frc2557,frc2976,65.03074999999987,17,18,2
frc492,frc1899,frc955,65.02516666666662,17,36,10
frc492,frc3218,frc4512,65.00703333333331,17,25,13
frc492,frc3218,frc5827,64.93641666666677,17,25,29
frc492,frc1899,frc2147,64.76733333333331,17,36,4
frc492,frc2471,frc488,64.76395,17,3,34
frc492,frc2811,frc4512,64.76141666666669,17,15,13
frc492,frc1595,frc3663,64.75608333333335,17,5,24
frc492,frc3711,frc4911,64.70484523809536,17,21,6
